"Name","AlbumId","Milliseconds","Bytes"
For Those About To Rock (We Salute You),1,343719,11170334
Balls to the Wall,2,342562,5510424
Fast As a Shark,3,230619,3990994
Restless and Wild,3,252051,4331779
Princess of the Dawn,3,375418,6290521
Put The Finger On You,1,205662,6713451
Let's Get It Up,1,233926,7636561
Inject The Venom,1,210834,6852860
Snowballed,1,203102,6599424
Evil Walks,1,263497,8611245
C.O.D.,1,199836,6566314
Breaking The Rules,1,263288,8596840
Night Of The Long Knives,1,205688,6706347
Spellbound,1,270863,8817038
Go Down,4,331180,10847611
Dog Eat Dog,4,215196,7032162
Let There Be Rock,4,366654,12021261
Bad Boy Boogie,4,267728,8776140
Problem Child,4,325041,10617116
Overdose,4,369319,12066294
Hell Ain't A Bad Place To Be,4,254380,8331286
Whole Lotta Rosie,4,323761,10547154
Walk On Water,5,295680,9719579
Love In An Elevator,5,321828,10552051
Rag Doll,5,264698,8675345
What It Takes,5,310622,10144730
Dude (Looks Like A Lady),5,264855,8679940
Janie's Got A Gun,5,330736,10869391
Cryin',5,309263,10056995
Amazing,5,356519,11616195
Blind Man,5,240718,7877453
Deuces Are Wild,5,215875,7074167
The Other Side,5,244375,7983270
Crazy,5,316656,10402398
Eat The Rich,5,251036,8262039
Angel,5,307617,9989331
Livin' On The Edge,5,381231,12374569
All I Really Want,6,284891,9375567
You Oughta Know,6,249234,8196916
Perfect,6,188133,6145404
Hand In My Pocket,6,221570,7224246
Right Through You,6,176117,5793082
Forgiven,6,300355,9753256
You Learn,6,239699,7824837
Head Over Feet,6,267493,8758008
Mary Jane,6,280607,9163588
Ironic,6,229825,7598866
Not The Doctor,6,227631,7604601
Wake Up,6,293485,9703359
You Oughta Know (Alternate),6,491885,16008629
We Die Young,7,152084,4925362
Man In The Box,7,286641,9310272
Sea Of Sorrow,7,349831,11316328
Bleed The Freak,7,241946,7847716
I Can't Remember,7,222955,7302550
"Love, Hate, Love",7,387134,12575396
It Ain't Like That,7,277577,8993793
Sunshine,7,284969,9216057
Put You Down,7,196231,6420530
Confusion,7,344163,11183647
I Know Somethin (Bout You),7,261955,8497788
Real Thing,7,243879,7937731
Desafinado,8,185338,5990473
Garota De Ipanema,8,285048,9348428
Samba De Uma Nota Só (One Note Samba),8,137273,4535401
Por Causa De Você,8,169900,5536496
Ligia,8,251977,8226934
Fotografia,8,129227,4198774
Dindi (Dindi),8,253178,8149148
Se Todos Fossem Iguais A Você (Instrumental),8,134948,4393377
Falando De Amor,8,219663,7121735
Angela,8,169508,5574957
Corcovado (Quiet Nights Of Quiet Stars),8,205662,6687994
Outra Vez,8,126511,4110053
O Boto (Bôto),8,366837,12089673
"Canta, Canta Mais",8,271856,8719426
Enter Sandman,9,221701,7286305
Master Of Puppets,9,436453,14375310
Harvester Of Sorrow,9,374543,12372536
The Unforgiven,9,322925,10422447
Sad But True,9,288208,9405526
Creeping Death,9,308035,10110980
Wherever I May Roam,9,369345,12033110
Welcome Home (Sanitarium),9,350197,11406431
Cochise,10,222380,5339931
Show Me How to Live,10,277890,6672176
Gasoline,10,279457,6709793
What You Are,10,249391,5988186
Like a Stone,10,294034,7059624
Set It Off,10,263262,6321091
Shadow on the Sun,10,343457,8245793
I am the Highway,10,334942,8041411
Exploder,10,206053,4948095
Hypnotize,10,206628,4961887
Bring'em Back Alive,10,329534,7911634
Light My Way,10,303595,7289084
Getaway Car,10,299598,7193162
The Last Remaining Light,10,317492,7622615
Your Time Has Come,11,255529,8273592
Out Of Exile,11,291291,9506571
Be Yourself,11,279484,9106160
Doesn't Remind Me,11,255869,8357387
Drown Me Slowly,11,233691,7609178
Heaven's Dead,11,276688,9006158
The Worm,11,237714,7710800
Man Or Animal,11,233195,7542942
Yesterday To Tomorrow,11,273763,8944205
Dandelion,11,278125,9003592
#1 Zero,11,299102,9731988
The Curse,11,309786,10029406
Money,12,147591,2365897
Long Tall Sally,12,106396,1707084
Bad Boy,12,116088,1862126
Twist And Shout,12,161123,2582553
Please Mr. Postman,12,137639,2206986
C'Mon Everybody,12,140199,2247846
Rock 'N' Roll Music,12,141923,2276788
Slow Down,12,163265,2616981
Roadrunner,12,143595,2301989
Carol,12,143830,2306019
Good Golly Miss Molly,12,106266,1704918
"20 Flight Rock",12,107807,1299960
Quadrant,13,261851,8538199
Snoopy's search-Red baron,13,456071,15075616
"Spanish moss-""A sound portrait""-Spanish moss",13,248084,8217867
Moon germs,13,294060,9714812
Stratus,13,582086,19115680
The pleasant pheasant,13,318066,10630578
Solo-Panhandler,13,246151,8230661
Do what cha wanna,13,274155,9018565
Intro/ Low Down,14,323683,10642901
"13 Years Of Grief",14,246987,8137421
Stronger Than Death,14,300747,9869647
All For You,14,235833,7726948
Super Terrorizer,14,319373,10513905
Phoney Smile Fake Hellos,14,273606,9011701
Lost My Better Half,14,284081,9355309
Bored To Tears,14,247327,8130090
A.N.D.R.O.T.A.Z.,14,266266,8574746
Born To Booze,14,282122,9257358
World Of Trouble,14,359157,11820932
No More Tears,14,555075,18041629
The Begining... At Last,14,365662,11965109
Heart Of Gold,15,194873,6417460
Snowblind,15,420022,13842549
Like A Bird,15,276532,9115657
Blood In The Wall,15,284368,9359475
The Beginning...At Last,15,271960,8975814
Black Sabbath,16,382066,12440200
The Wizard,16,264829,8646737
Behind The Wall Of Sleep,16,217573,7169049
N.I.B.,16,368770,12029390
Evil Woman,16,204930,6655170
Sleeping Village,16,644571,21128525
Warning,16,212062,6893363
Wheels Of Confusion / The Straightener,17,494524,16065830
Tomorrow's Dream,17,192496,6252071
Changes,17,286275,9175517
FX,17,103157,3331776
Supernaut,17,285779,9245971
Snowblind,17,331676,10813386
Cornucopia,17,234814,7653880
Laguna Sunrise,17,173087,5671374
St. Vitus Dance,17,149655,4884969
Under The Sun/Every Day Comes and Goes,17,350458,11360486
Smoked Pork,18,47333,1549074
Body Count's In The House,18,204251,6715413
Now Sports,18,4884,161266
Body Count,18,317936,10489139
A Statistic,18,6373,211997
Bowels Of The Devil,18,223216,7324125
The Real Problem,18,11650,387360
KKK Bitch,18,173008,5709631
D Note,18,95738,3067064
Voodoo,18,300721,9875962
The Winner Loses,18,392254,12843821
There Goes The Neighborhood,18,350171,11443471
Oprah,18,6635,224313
Evil Dick,18,239020,7828873
Body Count Anthem,18,166426,5463690
Momma's Gotta Die Tonight,18,371539,12122946
Freedom Of Speech,18,281234,9337917
King In Crimson,19,283167,9218499
Chemical Wedding,19,246177,8022764
The Tower,19,285257,9435693
Killing Floor,19,269557,8854240
Book Of Thel,19,494393,16034404
Gates Of Urizen,19,265351,8627004
Jerusalem,19,402390,13194463
Trupets Of Jericho,19,359131,11820908
Machine Men,19,341655,11138147
The Alchemist,19,509413,16545657
Realword,19,237531,7802095
First Time I Met The Blues,20,140434,4604995
Let Me Love You Baby,20,175386,5716994
Stone Crazy,20,433397,14184984
Pretty Baby,20,237662,7848282
When My Left Eye Jumps,20,235311,7685363
Leave My Girl Alone,20,204721,6859518
She Suits Me To A Tee,20,136803,4456321
Keep It To Myself (Aka Keep It To Yourself),20,166060,5487056
My Time After Awhile,20,182491,6022698
Too Many Ways (Alternate),20,135053,4459946
Talkin' 'Bout Women Obviously,20,589531,19161377
Jorge Da Capadócia,21,177397,5842196
Prenda Minha,21,99369,3225364
Meditação,21,148793,4865597
Terra,21,482429,15889054
Eclipse Oculto,21,221936,7382703
"Texto ""Verdade Tropical""",21,84088,2752161
Bem Devagar,21,133172,4333651
Drão,21,156264,5065932
Saudosismo,21,144326,4726981
Carolina,21,181812,5924159
Sozinho,21,190589,6253200
Esse Cara,21,223111,7217126
Mel,21,294765,9854062
Linha Do Equador,21,299337,10003747
Odara,21,141270,4704104
A Luz De Tieta,21,251742,8507446
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,21,307252,10364247
Vida Boa,21,281730,9411272
Sozinho (Hitmakers Classic Mix),22,436636,14462072
Sozinho (Hitmakers Classic Radio Edit),22,195004,6455134
Sozinho (Caêdrum 'n' Bass),22,328071,10975007
Carolina,23,163056,5375395
Essa Moça Ta Diferente,23,167235,5568574
Vai Passar,23,369763,12359161
Samba De Orly,23,162429,5431854
"Bye, Bye Brasil",23,283402,9499590
Atras Da Porta,23,189675,6132843
Tatuagem,23,172120,5645703
O Que Será (À Flor Da Terra),23,167288,5574848
Morena De Angola,23,186801,6373932
Apesar De Você,23,234501,7886937
A Banda,23,132493,4349539
Minha Historia,23,182256,6029673
Com Açúcar E Com Afeto,23,175386,5846442
Brejo Da Cruz,23,214099,7270749
Meu Caro Amigo,23,260257,8778172
Geni E O Zepelim,23,317570,10342226
Trocando Em Miúdos,23,169717,5461468
Vai Trabalhar Vagabundo,23,139154,4693941
Gota D'água,23,153208,5074189
Construção / Deus Lhe Pague,23,383059,12675305
Mateus Enter,24,33149,1103013
O Cidadão Do Mundo,24,200933,6724966
Etnia,24,152555,5061413
